customer_id,gender,age,city,register_date,acquisition_channel
1,M,69,台北市,2024-05-04,電話
2,F,56,台中市,2026-02-01,Referral
3,F,44,台北市,2025-02-01,官網
4,F,58,新竹市,2024-05-10,Facebook Ads
5,M,46,台中市,2025-08-27,官網
6,M,43,高雄市,2026-06-10,官網
7,M,37,台北市,2026-04-01,官網
8,F,29,台中市,2026-06-20,官網
9,F,47,新北市,2026-08-02,Referral
10,F,54,高雄市,2026-01-01,Google Ads
11,M,51,新北市,2024-11-29,Facebook Ads
12,F,47,台南市,2026-11-09,官網
13,F,40,台中市,2024-07-23,Facebook Ads
14,M,60,台中市,2026-08-13,合作通路
15,M,35,彰化縣,2024-12-20,Facebook Ads
16,M,62,台北市,2026-04-03,LINE
17,M,39,新北市,2026-10-22,Referral
18,F,42,桃園市,2026-07-29,Google Ads
19,M,33,台北市,2024-06-16,電話
20,M,45,高雄市,2025-01-02,官網
21,F,65,台中市,2025-06-19,Google Ads
22,M,59,台中市,2026-08-20,Referral
23,M,65,台中市,2025-08-02,Google Ads
24,M,59,桃園市,2026-08-07,LINE
25,F,38,台中市,2024-07-25,Google Ads
26,F,48,高雄市,2026-12-08,Google Ads
27,M,42,彰化縣,2025-06-27,Referral
28,F,69,新北市,2024-05-08,電話
29,F,36,新北市,2025-09-05,Google Ads
30,M,64,新北市,2024-02-04,官網
31,F,64,台北市,2026-03-29,電話
32,M,76,新北市,2024-07-17,Referral
33,M,47,高雄市,2024-03-17,LINE
34,F,61,新竹市,2025-01-03,Referral
35,F,82,彰化縣,2026-04-12,LINE
36,F,44,台南市,2025-06-09,官網
37,M,32,台南市,2024-12-14,合作通路
38,M,28,新北市,2025-05-20,Facebook Ads
39,F,61,高雄市,2025-10-04,Google Ads
40,M,28,台南市,2024-08-25,Facebook Ads
41,M,47,台北市,2024-05-17,Google Ads
42,F,58,新竹市,2025-09-03,Facebook Ads
43,M,54,台北市,2025-11-10,電話
44,F,58,高雄市,2026-04-18,LINE
45,M,55,高雄市,2026-07-26,Facebook Ads
46,F,69,彰化縣,2024-12-20,Facebook Ads
47,M,40,台中市,2025-07-31,Google Ads
48,F,43,桃園市,2026-04-26,LINE
49,F,42,新北市,2025-07-12,官網
50,M,63,台中市,2026-04-28,Google Ads
51,F,64,桃園市,2024-05-19,合作通路
52,F,58,新北市,2025-10-24,LINE
53,F,67,高雄市,2024-01-21,合作通路
54,F,37,台北市,2024-03-04,Google Ads
55,F,74,新北市,2026-12-31,電話
56,F,72,高雄市,2026-09-16,官網
57,M,62,台北市,2024-06-10,電話
58,M,75,台中市,2024-05-09,官網
59,M,30,新竹市,2025-08-03,合作通路
60,M,45,新北市,2024-08-12,官網
61,M,42,桃園市,2025-08-02,電話
62,M,61,台北市,2026-09-09,Referral
63,F,38,台北市,2026-10-01,電話
64,M,62,台北市,2024-04-16,LINE
65,M,70,台北市,2025-09-12,Facebook Ads
66,F,61,新北市,2026-04-19,Referral
67,M,56,新北市,2025-07-30,LINE
68,F,39,新北市,2024-07-17,官網
69,M,41,台中市,2025-05-24,Google Ads
70,F,68,新北市,2025-10-28,LINE
71,F,62,台中市,2024-03-19,官網
72,M,51,台中市,2026-06-12,官網
73,M,47,彰化縣,2025-05-26,LINE
74,F,26,高雄市,2024-09-06,Facebook Ads
75,F,38,高雄市,2026-06-07,Facebook Ads
76,F,77,台北市,2026-10-20,官網
77,F,35,彰化縣,2025-08-21,Facebook Ads
78,M,54,高雄市,2026-01-22,官網
79,M,65,桃園市,2025-08-22,官網
80,M,36,台北市,2026-09-01,合作通路
81,F,54,新竹市,2025-04-27,Google Ads
82,F,64,台南市,2026-04-15,Google Ads
83,M,52,台南市,2024-06-20,LINE
84,M,85,台中市,2026-05-18,LINE
85,M,30,台中市,2024-01-17,Google Ads
86,M,66,台中市,2025-01-28,電話
87,F,50,台中市,2024-08-21,LINE
88,F,62,台南市,2024-09-04,Facebook Ads
89,F,58,台中市,2024-02-21,Facebook Ads
90,F,42,台中市,2024-01-15,Referral
91,M,55,台中市,2025-03-16,Google Ads
92,F,28,台中市,2025-11-26,Google Ads
93,F,60,台中市,2024-01-07,Google Ads
94,F,56,桃園市,2026-04-05,官網
95,F,60,新北市,2026-11-02,電話
96,F,66,台中市,2025-04-22,Facebook Ads
97,F,57,台北市,2025-09-22,Google Ads
98,M,54,台北市,2025-12-15,Google Ads
99,M,41,台中市,2024-04-24,官網
100,M,43,高雄市,2025-05-23,Facebook Ads
101,M,67,高雄市,2024-02-26,Referral
102,F,71,桃園市,2025-01-16,Google Ads
103,M,49,桃園市,2026-08-09,Google Ads
104,F,53,台中市,2024-10-01,Google Ads
105,F,40,彰化縣,2024-02-13,Referral
106,M,67,桃園市,2025-12-18,官網
107,M,61,彰化縣,2024-11-13,合作通路
108,F,77,台中市,2025-06-17,Facebook Ads
109,M,41,彰化縣,2024-08-24,Google Ads
110,M,47,桃園市,2026-06-11,官網
111,M,55,台南市,2025-05-31,LINE
112,M,60,台中市,2024-02-07,官網
113,F,49,桃園市,2025-10-15,Facebook Ads
114,F,41,彰化縣,2026-01-16,Google Ads
115,F,63,高雄市,2026-04-20,Google Ads
116,F,61,新北市,2025-03-23,官網
117,F,40,彰化縣,2025-11-14,LINE
118,M,70,台北市,2024-05-04,電話
119,F,67,新北市,2026-12-24,Facebook Ads
120,F,54,新北市,2026-03-03,電話
121,F,53,彰化縣,2026-02-22,LINE
122,F,59,台中市,2024-08-13,Google Ads
123,M,41,新北市,2025-04-09,合作通路
124,M,52,高雄市,2025-10-04,LINE
125,M,24,桃園市,2024-10-19,官網
126,M,63,新北市,2025-12-21,官網
127,F,32,彰化縣,2026-01-25,Facebook Ads
128,F,72,彰化縣,2024-06-14,電話
129,M,48,台中市,2026-02-07,Referral
130,F,49,台北市,2026-10-03,Facebook Ads
131,M,44,台中市,2026-05-20,官網
132,M,48,台北市,2026-12-11,電話
133,M,70,新北市,2025-07-20,Google Ads
134,M,20,彰化縣,2026-11-03,Facebook Ads
135,F,69,台南市,2025-08-24,Google Ads
136,M,56,台中市,2026-06-23,官網
137,F,36,台中市,2024-02-10,電話
138,F,38,新北市,2026-10-26,官網
139,M,74,新北市,2024-08-29,Google Ads
140,F,40,台中市,2024-06-10,LINE
