lead_id,customer_id,campaign_id,lead_date,channel,status
7968,2818,15,2024-01-16,Google Ads,Converted
9487,1369,15,2024-01-16,Google Ads,New
10121,2818,15,2024-01-17,Google Ads,New
10675,724,15,2024-01-17,Google Ads,New
9237,93,15,2024-01-21,Google Ads,Lost
8313,1436,15,2024-01-27,Google Ads,Converted
357,85,15,2024-01-27,Google Ads,Converted
4771,3570,15,2024-01-28,Google Ads,Qualified
11522,1354,15,2024-02-01,Google Ads,Converted
5091,560,39,2024-02-04,官網,Lost
6353,605,39,2024-02-07,官網,Contacted
5815,3262,38,2024-02-10,Google Ads,Qualified
11928,3869,15,2024-02-10,Google Ads,Qualified
6411,395,39,2024-02-11,官網,Contacted
8066,3764,15,2024-02-12,Google Ads,Qualified
8416,2711,39,2024-02-12,官網,Converted
440,3774,38,2024-02-12,Google Ads,Lost
11221,2030,13,2024-02-13,電話,Converted
11310,605,13,2024-02-14,電話,Contacted
6932,2280,38,2024-02-15,Google Ads,New
437,1369,38,2024-02-15,Google Ads,Qualified
9092,1725,38,2024-02-16,Google Ads,New
4539,3709,38,2024-02-16,Google Ads,New
6573,1489,38,2024-02-17,Google Ads,New
11414,2818,38,2024-02-17,Google Ads,New
10048,2854,15,2024-02-19,Google Ads,New
7091,813,38,2024-02-19,Google Ads,New
313,1071,15,2024-02-19,Google Ads,Qualified
6320,333,15,2024-02-19,Google Ads,Contacted
2529,1754,15,2024-02-20,Google Ads,Qualified
11324,2020,39,2024-02-20,官網,Contacted
7376,3321,38,2024-02-20,Google Ads,Qualified
4329,3817,38,2024-02-21,Google Ads,Contacted
4952,2145,39,2024-02-21,官網,Contacted
312,3015,38,2024-02-21,Google Ads,New
7478,3195,15,2024-02-24,Google Ads,Contacted
8477,2495,38,2024-02-26,Google Ads,Contacted
3216,3087,5,2024-02-26,Google Ads,New
5183,3880,5,2024-02-26,Google Ads,Contacted
4336,3310,13,2024-02-26,電話,New
10761,1544,39,2024-02-26,官網,Converted
3616,2944,38,2024-02-27,Google Ads,Qualified
5028,1958,39,2024-02-27,官網,Contacted
7651,3572,38,2024-02-27,Google Ads,New
2563,253,39,2024-02-28,官網,Contacted
765,2480,15,2024-02-28,Google Ads,Contacted
10892,2700,38,2024-02-29,Google Ads,New
6659,3750,5,2024-02-29,Google Ads,Qualified
11052,3750,5,2024-02-29,Google Ads,Lost
7881,1432,39,2024-03-01,官網,New
1891,3559,38,2024-03-01,Google Ads,Contacted
2555,1540,38,2024-03-02,Google Ads,Qualified
9416,339,38,2024-03-02,Google Ads,New
3913,3826,15,2024-03-03,Google Ads,Contacted
149,663,39,2024-03-03,官網,Contacted
3911,3652,39,2024-03-03,官網,Contacted
