machine_id,model,purchase_date,purchase_cost,status
1,OxygenPro OX-10,2024-05-22,33811,Maintenance
2,HomeCare HC-5,2026-12-27,14302,Available
3,CareAir CA-10,2025-07-20,25638,Rented
4,CareAir CA-5,2022-03-03,16055,Rented
5,OxygenPro OX-5,2023-08-19,26717,Rented
6,OxygenPro OX-5,2023-12-30,26150,Maintenance
7,OxygenPro OX-5,2025-09-27,20125,Rented
8,HomeCare HC-5,2023-02-01,14364,Available
9,CareAir CA-5,2023-11-30,22809,Rented
10,CareAir CA-10,2024-11-08,29621,Available
11,OxygenPro OX-5,2022-06-26,23126,Maintenance
12,HomeCare HC-5,2026-06-24,19122,Rented
13,HomeCare HC-5,2023-01-31,15646,Rented
14,OxygenPro OX-5,2023-03-21,18918,Rented
15,OxygenPro OX-5,2025-06-10,20797,Available
16,OxygenPro OX-5,2022-03-17,24506,Rented
17,OxygenPro OX-10,2022-09-22,33870,Available
18,CareAir CA-5,2023-03-31,17531,Rented
19,OxygenPro OX-10,2026-12-25,36172,Available
20,OxygenPro OX-10,2023-12-19,31345,Rented
21,CareAir CA-5,2024-01-05,23673,Rented
22,OxygenPro OX-5,2025-11-08,24949,Rented
23,OxygenPro OX-10,2026-05-07,34882,Rented
24,OxygenPro OX-10,2024-04-30,29906,Maintenance
25,CareAir CA-5,2026-03-10,19086,Rented
26,CareAir CA-10,2025-10-22,33152,Maintenance
27,OxygenPro OX-5,2022-05-24,23750,Rented
28,CareAir CA-5,2024-06-03,24905,Retired
29,CareAir CA-5,2024-12-28,17062,Available
30,OxygenPro OX-5,2025-01-27,19976,Available
31,CareAir CA-5,2023-01-31,17296,Available
32,OxygenPro OX-5,2024-11-14,24229,Maintenance
33,OxygenPro OX-5,2024-08-05,25641,Rented
34,HomeCare HC-5,2024-06-09,14125,Retired
35,HomeCare HC-5,2026-02-01,18632,Rented
36,HomeCare HC-5,2026-02-16,20288,Rented
37,OxygenPro OX-10,2026-05-08,31596,Retired
38,OxygenPro OX-5,2025-03-20,24168,Rented
39,CareAir CA-10,2025-03-13,34795,Retired
40,OxygenPro OX-10,2023-07-23,35561,Rented
41,OxygenPro OX-5,2024-11-28,26258,Available
42,CareAir CA-5,2022-04-19,16232,Available
43,OxygenPro OX-5,2026-09-13,27361,Maintenance
44,HomeCare HC-5,2024-12-01,20371,Maintenance
45,OxygenPro OX-10,2025-04-24,32206,Retired
46,CareAir CA-10,2024-07-23,34685,Available
47,OxygenPro OX-10,2023-02-02,40910,Rented
48,CareAir CA-5,2025-05-31,23943,Available
49,CareAir CA-5,2023-09-26,22891,Rented
50,OxygenPro OX-5,2025-03-02,24738,Rented
51,HomeCare HC-5,2025-04-01,16472,Rented
52,CareAir CA-10,2025-05-23,35852,Rented
53,HomeCare HC-5,2024-01-03,16739,Available
54,HomeCare HC-5,2022-08-23,19401,Available
55,CareAir CA-5,2023-10-20,17761,Available
56,HomeCare HC-5,2024-01-21,14876,Available
57,OxygenPro OX-5,2023-08-11,21812,Retired
58,OxygenPro OX-5,2024-10-29,27504,Retired
59,OxygenPro OX-5,2025-01-02,19460,Maintenance
60,OxygenPro OX-10,2024-08-11,38901,Rented
61,OxygenPro OX-10,2023-05-07,38516,Available
62,OxygenPro OX-10,2024-07-01,29733,Retired
63,HomeCare HC-5,2025-06-30,15605,Maintenance
64,OxygenPro OX-10,2025-06-07,33622,Rented
65,OxygenPro OX-10,2026-03-23,34767,Maintenance
66,CareAir CA-5,2025-04-12,22986,Rented
67,OxygenPro OX-5,2026-08-04,21517,Rented
68,HomeCare HC-5,2025-04-06,17735,Retired
69,OxygenPro OX-5,2022-06-19,27352,Maintenance
70,HomeCare HC-5,2025-11-17,22434,Rented
71,CareAir CA-10,2024-08-03,27590,Available
72,OxygenPro OX-5,2024-03-05,19063,Rented
73,OxygenPro OX-5,2023-09-26,22324,Rented
74,HomeCare HC-5,2025-05-02,19342,Retired
75,CareAir CA-10,2026-03-21,25005,Rented
76,CareAir CA-10,2022-01-29,32489,Rented
77,CareAir CA-10,2025-04-03,33659,Available
78,OxygenPro OX-5,2025-12-16,26195,Rented
79,OxygenPro OX-10,2022-12-05,33966,Available
80,OxygenPro OX-5,2026-07-30,26837,Rented
81,HomeCare HC-5,2026-02-28,14117,Maintenance
82,CareAir CA-5,2025-10-20,18551,Rented
83,OxygenPro OX-10,2025-09-27,41234,Available
84,OxygenPro OX-5,2023-05-15,23560,Rented
85,OxygenPro OX-10,2026-08-08,32289,Rented
86,OxygenPro OX-10,2023-05-26,28846,Rented
87,CareAir CA-10,2025-09-12,35954,Rented
88,CareAir CA-5,2022-08-05,22316,Retired
89,HomeCare HC-5,2025-08-17,20469,Rented
90,CareAir CA-5,2025-03-01,25333,Rented
91,OxygenPro OX-5,2024-12-29,26915,Rented
92,CareAir CA-10,2025-06-29,25224,Rented
93,CareAir CA-10,2025-12-09,37819,Maintenance
94,CareAir CA-5,2026-12-16,20208,Rented
95,CareAir CA-10,2023-03-21,31283,Maintenance
96,CareAir CA-5,2024-05-25,18048,Rented
97,CareAir CA-5,2025-04-20,22233,Rented
98,OxygenPro OX-10,2022-06-16,40941,Rented
99,OxygenPro OX-5,2022-04-01,27765,Retired
100,OxygenPro OX-5,2023-12-15,19828,Available
101,OxygenPro OX-5,2026-04-04,19917,Rented
102,CareAir CA-5,2022-02-08,20234,Available
103,OxygenPro OX-10,2025-02-23,34988,Available
