maintenance_id,machine_id,maintenance_date,maintenance_type,cost
1854,340,2022-02-19,故障維修,2187
54,360,2022-03-02,清潔消毒,453
784,150,2022-03-07,零件更換,4176
1044,258,2022-03-10,定期保養,1194
2211,304,2022-04-19,定期保養,1611
777,99,2022-04-22,定期保養,1574
470,390,2022-04-26,零件更換,2924
1880,234,2022-05-10,定期保養,536
1700,227,2022-05-25,故障維修,2612
722,76,2022-05-26,定期保養,1269
1467,392,2022-05-28,定期保養,554
1477,325,2022-05-28,性能檢測,658
655,185,2022-05-29,零件更換,5810
2041,342,2022-06-07,故障維修,2254
1479,321,2022-06-25,零件更換,6394
1381,69,2022-07-01,定期保養,554
1760,227,2022-07-10,故障維修,4433
1939,208,2022-07-29,性能檢測,1215
1508,223,2022-08-04,定期保養,1354
2150,332,2022-08-04,零件更換,4115
1491,102,2022-08-10,定期保養,967
1864,227,2022-08-13,零件更換,7384
2115,267,2022-08-16,定期保養,1492
1894,88,2022-08-17,清潔消毒,1019
2093,88,2022-08-21,零件更換,3406
1369,76,2022-08-23,定期保養,1764
1646,304,2022-08-25,定期保養,1317
34,384,2022-08-28,定期保養,1629
2463,257,2022-09-01,故障維修,3590
1451,208,2022-09-02,性能檢測,654
1073,16,2022-09-03,性能檢測,1311
2193,273,2022-09-10,故障維修,3011
1125,267,2022-09-11,定期保養,1016
2215,295,2022-09-13,性能檢測,949
1763,42,2022-09-14,故障維修,4987
1017,76,2022-09-20,清潔消毒,1158
1063,311,2022-09-22,故障維修,1753
295,54,2022-09-24,定期保養,1036
1472,297,2022-09-25,清潔消毒,510
1308,322,2022-09-27,定期保養,1773
742,131,2022-09-29,定期保養,1340
1788,252,2022-10-01,故障維修,4056
1030,332,2022-10-01,故障維修,2540
2358,27,2022-10-01,定期保養,749
506,69,2022-10-01,定期保養,1722
2185,267,2022-10-05,定期保養,1048
1054,321,2022-10-12,定期保養,1701
1584,208,2022-10-12,清潔消毒,815
680,347,2022-10-14,故障維修,5742
600,16,2022-10-15,零件更換,6478
1702,185,2022-10-19,定期保養,1318
1537,76,2022-10-25,故障維修,3166
2060,227,2022-10-30,定期保養,1574
1338,276,2022-11-02,零件更換,2731
2347,276,2022-11-06,故障維修,4672
1754,105,2022-11-08,定期保養,621
851,27,2022-11-09,零件更換,4750
1052,221,2022-11-12,性能檢測,657
1549,17,2022-11-13,定期保養,965
489,384,2022-11-16,定期保養,1669
1071,130,2022-11-22,零件更換,4881
1867,17,2022-12-02,清潔消毒,1042
1906,88,2022-12-04,定期保養,1775
2334,279,2022-12-05,清潔消毒,977
638,105,2022-12-05,故障維修,5683
918,383,2022-12-06,性能檢測,889
2287,392,2022-12-07,故障維修,1830
1060,258,2022-12-11,定期保養,759
190,105,2022-12-13,故障維修,2155
95,312,2022-12-15,定期保養,1326
1344,295,2022-12-17,故障維修,2335
2175,98,2022-12-19,定期保養,568
367,389,2022-12-20,零件更換,5003
2075,354,2022-12-22,定期保養,1139
82,257,2022-12-24,故障維修,3570
2359,223,2022-12-30,清潔消毒,951
731,69,2023-01-01,零件更換,6479
2354,351,2023-01-02,清潔消毒,1115
118,79,2023-01-04,定期保養,1776
1397,185,2023-01-15,零件更換,6656
559,304,2023-01-22,故障維修,3401
2219,351,2023-01-24,清潔消毒,695
2131,69,2023-01-28,定期保養,1519
509,384,2023-02-04,定期保養,1242
748,227,2023-02-04,零件更換,2964
1294,281,2023-02-05,故障維修,5003
524,337,2023-02-07,性能檢測,1160
2446,131,2023-02-09,定期保養,1375
2242,13,2023-02-11,定期保養,818
1461,172,2023-02-15,清潔消毒,722
2198,347,2023-02-19,零件更換,6520
268,286,2023-02-21,零件更換,7286
2310,150,2023-02-22,故障維修,3957
1087,252,2023-02-22,定期保養,1680
887,267,2023-02-24,性能檢測,505
1121,358,2023-03-01,定期保養,980
1842,185,2023-03-01,定期保養,1085
1149,342,2023-03-03,定期保養,1647
159,102,2023-03-04,故障維修,4644
1095,99,2023-03-05,性能檢測,1139
2171,279,2023-03-06,定期保養,1451
1363,257,2023-03-06,定期保養,1042
1664,208,2023-03-09,定期保養,1096
2126,272,2023-03-10,零件更換,4350
2229,130,2023-03-12,定期保養,770
1758,205,2023-03-14,故障維修,2829
2373,282,2023-03-16,零件更換,6359
1792,297,2023-03-23,定期保養,1046
59,17,2023-03-28,故障維修,5242
2318,172,2023-03-31,清潔消毒,519
2100,172,2023-04-07,零件更換,5756
136,141,2023-04-07,定期保養,727
2324,135,2023-04-08,定期保養,1488
1970,11,2023-04-09,定期保養,633
992,282,2023-04-09,故障維修,3541
2138,296,2023-04-13,零件更換,4759
936,119,2023-04-13,定期保養,1353
2234,342,2023-04-18,定期保養,1074
757,256,2023-04-18,故障維修,4482
2253,272,2023-04-19,定期保養,1231
1098,79,2023-04-22,定期保養,1755
2230,131,2023-04-23,清潔消毒,313
1315,194,2023-04-24,清潔消毒,957
2010,205,2023-04-25,故障維修,2887
1877,241,2023-04-26,定期保養,1175
1260,238,2023-04-26,性能檢測,724
1426,390,2023-05-01,定期保養,1030
285,237,2023-05-03,定期保養,695
610,281,2023-05-04,定期保養,756
2313,207,2023-05-07,定期保養,770
1680,282,2023-05-07,清潔消毒,1008
919,308,2023-05-12,定期保養,825
504,326,2023-05-13,定期保養,1784
758,223,2023-05-13,定期保養,1613
530,347,2023-05-14,故障維修,4913
1567,272,2023-05-17,故障維修,5824
2309,47,2023-05-21,故障維修,4033
830,194,2023-05-21,定期保養,1296
1089,398,2023-05-21,故障維修,4648
2366,17,2023-05-22,定期保養,973
1132,207,2023-05-23,故障維修,3001
1516,4,2023-05-23,零件更換,6019
1318,296,2023-05-23,定期保養,1692
896,88,2023-05-26,性能檢測,1297
350,258,2023-05-26,清潔消毒,1148
2205,297,2023-05-27,定期保養,1095
2052,205,2023-05-28,故障維修,4484
1234,11,2023-05-31,零件更換,3063
2073,88,2023-06-04,故障維修,5982
1116,238,2023-06-04,定期保養,1246
1212,194,2023-06-06,定期保養,802
199,358,2023-06-07,零件更換,2957
456,207,2023-06-07,故障維修,5608
1751,223,2023-06-11,定期保養,1028
1244,338,2023-06-14,定期保養,759
2364,205,2023-06-15,定期保養,752
