payment_id,rental_id,payment_date,amount,payment_status
12599,1,2026-08-20,2707,Paid
12600,1,2026-09-01,2707,Paid
12601,1,2026-10-02,2707,Paid
12602,1,2026-11-01,2707,Overdue
12603,1,2026-12-01,2707,Overdue
5009,2,2025-11-30,2594,Paid
5010,2,2025-12-01,2594,Paid
5011,2,2026-01-01,2594,Paid
5012,2,2026-02-01,2594,Overdue
5013,2,2026-03-04,2594,Pending
5014,2,2026-04-02,2594,Overdue
5015,2,2026-05-01,2594,Paid
5016,2,2026-06-01,2594,Pending
5017,2,2026-07-01,2594,Paid
5018,2,2026-08-01,2594,Paid
5019,2,2026-09-02,2594,Paid
5020,2,2026-10-01,2594,Paid
5021,2,2026-11-01,2594,Paid
15177,3,2026-10-22,3552,Paid
15178,3,2026-11-04,3552,Paid
14407,4,2026-10-05,3105,Paid
14408,4,2026-11-01,3105,Pending
14409,4,2026-12-01,3105,Paid
14444,5,2026-10-06,2051,Paid
14445,5,2026-11-01,2051,Paid
14446,5,2026-12-01,2051,Paid
1318,6,2025-03-05,3927,Paid
1319,6,2025-04-02,3927,Pending
15481,7,2026-10-27,3571,Paid
15482,7,2026-11-01,3571,Paid
15483,7,2026-12-01,3571,Paid
10411,8,2026-06-22,2327,Paid
10412,8,2026-07-01,2327,Paid
10413,8,2026-07-31,2327,Overdue
10414,8,2026-09-03,2327,Failed
15541,9,2026-10-29,2768,Paid
15542,9,2026-10-30,2768,Paid
15543,9,2026-12-01,2768,Paid
15224,10,2026-10-23,3063,Failed
15225,10,2026-11-01,3063,Paid
15226,10,2026-12-01,3063,Overdue
3284,11,2025-08-20,4085,Paid
3285,11,2025-09-01,4085,Paid
14526,12,2026-10-08,2911,Paid
14527,12,2026-11-01,2911,Paid
14528,12,2026-12-01,2911,Paid
15959,13,2026-12-01,2846,Paid
14779,14,2026-10-14,4924,Overdue
14780,14,2026-11-01,4924,Paid
14781,14,2026-12-01,4924,Paid
14270,15,2026-10-01,2200,Pending
14271,15,2026-11-01,2200,Paid
14272,15,2026-12-02,2200,Paid
12624,16,2026-08-21,3119,Paid
12625,16,2026-09-01,3119,Paid
12626,16,2026-10-01,3119,Overdue
12627,16,2026-11-02,3119,Paid
12628,16,2026-12-01,3119,Paid
16006,17,2026-12-06,2559,Pending
9640,18,2026-05-28,2678,Paid
9641,18,2026-05-31,2678,Failed
9642,18,2026-07-01,2678,Paid
9643,18,2026-08-01,2678,Paid
9644,18,2026-09-01,2678,Paid
9645,18,2026-10-01,2678,Paid
9646,18,2026-11-01,2678,Paid
9647,18,2026-12-01,2678,Paid
15493,19,2026-10-27,3500,Paid
15494,19,2026-11-01,3500,Paid
15495,19,2026-11-30,3500,Paid
12634,20,2026-08-21,3075,Paid
12635,20,2026-08-31,3075,Paid
12636,20,2026-10-01,3075,Paid
12637,20,2026-11-03,3075,Paid
12638,20,2026-12-01,3075,Paid
15247,21,2026-10-24,3578,Paid
15248,21,2026-10-31,3578,Paid
14108,22,2026-09-27,4608,Pending
14109,22,2026-10-01,4608,Paid
3966,23,2025-10-02,3133,Paid
3967,23,2025-11-03,3133,Paid
3968,23,2025-12-01,3133,Paid
3969,23,2026-01-01,3133,Paid
8711,24,2026-04-29,3531,Paid
8712,24,2026-05-01,3531,Paid
8713,24,2026-06-01,3531,Paid
8714,24,2026-07-01,3531,Paid
8715,24,2026-07-31,3531,Paid
8716,24,2026-09-01,3531,Overdue
8717,24,2026-10-03,3531,Pending
8718,24,2026-11-01,3531,Paid
8719,24,2026-11-30,3531,Paid
6494,25,2026-02-06,2024,Pending
6495,25,2026-03-01,2024,Paid
6496,25,2026-04-01,2024,Paid
15326,26,2026-10-25,2449,Paid
15327,26,2026-11-01,2449,Pending
1151,27,2025-02-19,3067,Overdue
1152,27,2025-02-28,3067,Paid
11685,28,2026-07-29,3954,Paid
11686,28,2026-08-01,3954,Paid
11687,28,2026-09-03,3954,Paid
11688,28,2026-10-01,3954,Paid
11689,28,2026-11-01,3954,Paid
11690,28,2026-12-01,3954,Failed
6808,29,2026-02-19,2697,Paid
6809,29,2026-03-01,2697,Paid
6810,29,2026-04-01,2697,Paid
6811,29,2026-05-02,2697,Paid
6812,29,2026-06-01,2697,Overdue
6813,29,2026-07-03,2697,Overdue
6814,29,2026-08-01,2697,Paid
15241,30,2026-10-24,3617,Pending
15242,30,2026-11-06,3617,Paid
15243,30,2026-12-01,3617,Paid
15574,31,2026-10-29,2436,Paid
15575,31,2026-11-01,2436,Paid
15576,31,2026-12-04,2436,Paid
11540,32,2026-07-25,3189,Paid
11541,32,2026-08-01,3189,Paid
11542,32,2026-09-01,3189,Paid
11543,32,2026-10-01,3189,Paid
11544,32,2026-11-06,3189,Paid
11545,32,2026-12-01,3189,Overdue
6618,33,2026-02-12,3086,Paid
6619,33,2026-02-28,3086,Paid
6620,33,2026-04-01,3086,Failed
6621,33,2026-05-01,3086,Paid
6622,33,2026-06-02,3086,Paid
6623,33,2026-07-02,3086,Paid
6624,33,2026-08-01,3086,Paid
5159,34,2025-12-08,2103,Paid
5160,34,2026-01-01,2103,Paid
5161,34,2026-02-03,2103,Paid
14730,35,2026-10-13,2626,Paid
14731,35,2026-11-01,2626,Paid
14732,35,2026-12-04,2626,Overdue
2062,36,2025-05-14,4562,Paid
2063,36,2025-06-02,4562,Paid
2064,36,2025-07-01,4562,Paid
318,37,2024-09-13,2457,Paid
319,37,2024-10-08,2457,Paid
320,37,2024-11-01,2457,Paid
321,37,2024-12-01,2457,Paid
322,37,2025-01-01,2457,Paid
323,37,2025-02-01,2457,Paid
324,37,2025-03-01,2457,Paid
13554,38,2026-09-14,3863,Paid
13555,38,2026-10-01,3863,Paid
15987,39,2026-12-03,3334,Paid
11627,40,2026-07-27,3573,Paid
11628,40,2026-08-01,3573,Paid
11629,40,2026-09-01,3573,Paid
11630,40,2026-10-01,3573,Paid
14832,41,2026-10-15,4755,Failed
14833,41,2026-11-01,4755,Paid
14834,41,2026-12-02,4755,Failed
1303,42,2025-03-04,2538,Paid
1304,42,2025-04-01,2538,Overdue
11840,43,2026-08-01,3318,Paid
